Test: static shards ...
007064 CLRK C33 | PutAppend | Request key:0, value:VAuklCRtuMeqd-jFU7OC, op:Put, opNum: 1, shard:8
011748 KCFG KV102-0 | Config | Config Outdated. Previous config: {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]}, Current config: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, prevConfigNum: 0, currConfigNum: 1
011749 KCFG KV102-0 | Config | Receieved raft start() result, index: 1
011750 KCFG KV102-0 | Config | Waiting for raft apply result from resultCh: 0xc000022e40
011840 KAPL KV102-0 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]} }
011842 KAPC KV102-0 | Apply Config | config, old: {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]}, new: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}
011843 KCFG KV102-0 | Config | Updated config from {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]} to {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, shardsToRecv: {false, false, false, false, false, false, false, false, false, false}
011942 KCFG KV102-0 | Config | Config Outdated. Previous config: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, Current config: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]}, prevConfigNum: 1, currConfigNum: 2
011944 KCFG KV102-0 | Config | Receieved raft start() result, index: 2
011944 KCFG KV102-0 | Config | Waiting for raft apply result from resultCh: 0xc0002cb080
012065 KAPL KV102-1 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]} }
012066 KAPC KV102-1 | Apply Config | config, old: {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]}, new: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}
012068 KAPL KV102-0 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]} }
012069 KAPC KV102-0 | Apply Config | config, old: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, new: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]}
012069 KCFG KV102-0 | UpdateShardsStatus | shardsToRecv: {false, false, false, false, false, false, false, false, false, false}
012069 KSND KV101-1 | RequestShard | Requesting Shard: 3, from: 100
012070 KAPL KV102-2 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]} }
012070 KAPC KV102-2 | Apply Config | config, old: {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]}, new: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}
012064 KSND KV101-1 | RequestShard | Requesting Shard: 4, from: 100
012072 KSND KV101-1 | RequestShard | Sending request for shard: 3 to 100-server-100-0
012072 KCFG KV102-0 | Config | Updated config from {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]} to {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]}, shardsToRecv: {false, false, false, false, false, false, false, false, false, false}
012068 KSND KV101-1 | RequestShard | Requesting Shard: 2, from: 100
012075 KSND KV101-1 | RequestShard | Sending request for shard: 2 to 100-server-100-0
012067 KSND KV101-1 | RequestShard | Requesting Shard: 1, from: 100
012077 KSND KV101-1 | RequestShard | Sending request for shard: 1 to 100-server-100-0
012079 KSND KV101-1 | RequestShard | Sending request for shard: 3 to 100-server-100-1
012080 KSND KV101-1 | RequestShard | Sending request for shard: 1 to 100-server-100-1
012080 KSND KV100-1 | RequestShard | ConfigNum: 2 is not valid, current ConfigNum: 0
labgob warning: Decoding into a non-default variable/field Err may not work
012081 KSND KV100-1 | RequestShard | ConfigNum: 2 is not valid, current ConfigNum: 0
012085 KSND KV101-1 | RequestShard | Sending request for shard: 1 to 100-server-100-2
012085 KSND KV101-1 | RequestShard | Sending request for shard: 4 to 100-server-100-0
012082 KSND KV101-1 | RequestShard | Sending request for shard: 3 to 100-server-100-2
012088 KSND KV101-1 | RequestShard | Sending request for shard: 4 to 100-server-100-1
012089 KSND KV100-1 | RequestShard | ConfigNum: 2 is not valid, current ConfigNum: 0
012083 KSND KV101-1 | RequestShard | Sending request for shard: 2 to 100-server-100-1
012090 KSND KV101-1 | RequestShard | Sending request for shard: 4 to 100-server-100-2
012090 KSND KV100-1 | RequestShard | ConfigNum: 2 is not valid, current ConfigNum: 0
012091 KSND KV101-1 | RequestShard | Sending request for shard: 2 to 100-server-100-2
012083 KSND KV101-1 | RequestShard | Requesting Shard: 0, from: 100
012093 KSND KV101-1 | RequestShard | Sending request for shard: 0 to 100-server-100-0
012095 KSND KV101-1 | RequestShard | Sending request for shard: 0 to 100-server-100-1
012096 KSND KV100-1 | RequestShard | ConfigNum: 2 is not valid, current ConfigNum: 0
012097 KSND KV101-1 | RequestShard | Sending request for shard: 0 to 100-server-100-2
012160 KCFG KV100-1 | Config | Config Outdated. Previous config: {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]}, Current config: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, prevConfigNum: 0, currConfigNum: 1
012165 KCFG KV100-1 | Config | Receieved raft start() result, index: 1
012165 KCFG KV100-1 | Config | Waiting for raft apply result from resultCh: 0xc00048df20
012165 KAPL KV102-1 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]} }
012166 KAPC KV102-1 | Apply Config | config, old: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, new: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]}
012166 KCFG KV102-1 | UpdateShardsStatus | shardsToRecv: {false, false, false, false, false, false, false, false, false, false}
012170 KAPL KV102-2 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]} }
012170 KAPC KV102-2 | Apply Config | config, old: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, new: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]}
012171 KCFG KV102-2 | UpdateShardsStatus | shardsToRecv: {false, false, false, false, false, false, false, false, false, false}
012175 KAPL KV100-2 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]} }
012176 KAPC KV100-2 | Apply Config | config, old: {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]}, new: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}
012176 KAPL KV100-1 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]} }
